Source,Target,Type
San Mateo,Terreros - Hospital C.V,Undirected
Terreros - Hospital C.V,Leon XIII,Undirected
Leon XIII,La Despensa,Undirected
La Despensa,Bosa,Undirected
Bosa,Portal del Sur,Undirected
Portal del Sur,Perdomo,Undirected
Perdomo,Madelena,Undirected
Madelena,Sevillana,Undirected
Sevillana,Venecia,Undirected
Venecia,Alquería,Undirected
Alquería,General Santander,Undirected
General Santander,NQS - Calle 38A S,Undirected
NQS - Calle 38A S,NQS - Calle 30 S,Undirected
NQS - Calle 30 S,SENA,Undirected
SENA,Santa Isabel,Undirected
Santa Isabel,Comuneros,Undirected
Comuneros,Ricaurte - NQS,Undirected
Ricaurte - NQS,Paloquemao,Undirected
Paloquemao,CAD,Undirected
CAD,AV. El Dorado,Undirected
AV. El Dorado,U. Nacional,Undirected
U. Nacional,Campín,Undirected
Campín,Movistar Arena,Undirected
Movistar Arena,Simón Bolívar,Undirected
Simón Bolívar,AV. Chile,Undirected
AV. Chile,NQS - Calle 75,Undirected
NQS - Calle 75,La Castellana,Undirected
La Castellana,Calle 100,Undirected
Calle 100,Calle 106,Undirected
Calle 106,Pepe Sierra,Undirected
Pepe Sierra,Calle 127,Undirected
Calle 127,Prado,Undirected
Prado,Alcalá,Undirected
Alcalá,Calle 142,Undirected
Calle 142,Calle 146,Undirected
Calle 146,Mazurén,Undirected
Mazurén,Calle 161,Undirected
Calle 161,Toberín,Undirected
Toberín,Portal del Norte,Undirected
Portal del Norte,Calle 187,Undirected
Calle 187,Terminal,Undirected
Portal de las Américas,Patio Bonito,Undirected
Patio Bonito,Biblioteca Tintal,Undirected
Biblioteca Tintal,Transversal 86,Undirected
Transversal 86,Banderas,Undirected
Banderas,Mandalay,Undirected
Mandalay,AV. Américas - AV. Boyacá,Undirected
AV. Américas - AV. Boyacá,Marsella,Undirected
Marsella,Pradera,Undirected
Pradera,Américas - Carrera 53A,Undirected
Américas - Carrera 53A,Puente Aranda,Undirected
Puente Aranda,Carrera 43,Undirected
Carrera 43,Zona Industrial,Undirected
Zona Industrial,CDS - Carrera 32,Undirected
CDS - Carrera 32,Ricaurte - CL 13,Undirected
Ricaurte - CL 13,San Fason Carrera 22,Undirected
San Fason Carrera 22,De La Sabana,Undirected
De La Sabana,AV. Jiménez - CL 13,Undirected
AV. Jiménez - CL 13,San Victorino,Undirected
San Victorino,Museo del Oro,Undirected
Museo del Oro,Las Aguas,Undirected
Las Aguas,Universidades,Undirected
Universidades,Centro Memoria,Undirected
Centro Memoria,Concejo de Bogotá,Undirected
Concejo de Bogotá,Ciudad Universitaria,Undirected
Ciudad Universitaria,Recinto Ferial,Undirected
Recinto Ferial,Quinta Paredes,Undirected
Quinta Paredes,Gobernación,Undirected
