nombre,codigo,x,y,sx,sxy,sy,upz,Pt,H,M,propoblacion,
Usaquen,1,-74.02788209,4.741928561,2.29E-05,2.84E-05,0.001032172,9,494066,229094,264972,0.062759874,7872323
Chapinero,2,-74.03693918,4.644924718,9.81E-05,-6.29E-06,0.00020584,5,137870,64685,73185,0.017513255,7872323
Santa Fe,3,-74.03621758,4.593972729,1.52E-05,5.16E-06,7.19E-06,5,110053,55489,54564,0.013979736,7872323
San Cristobal,4,-74.06607256,4.548749009,0.000171724,2.28E-05,0.000210917,6,406025,198396,207629,0.051576263,7872323
Usme,5,-74.1428065,4.390025129,0.000432725,0.000550708,0.001171862,9,432724,214039,218685,0.054967765,7872323
Tunjuelito,6,-74.13598945,4.574841399,3.72E-05,-4.65E-05,7.69E-05,2,200048,99269,100779,0.025411559,7872323
Bosa,7,-74.19438893,4.62177996,0.000110815,-5.06E-05,9.09E-05,5,646833,316343,330490,0.082165455,7872323
Kennedy,8,-74.15266762,4.630347352,0.000120573,6.54E-05,0.000205346,12,1069469,521766,547703,0.135851768,7872323
Fontibon,9,-74.1401513,4.678182926,9.04E-05,-6.59E-05,0.00011803,8,380453,180174,200279,0.04832792,7872323
Engativa,10,-74.1131877,4.701125563,0.000188165,-7.38E-05,9.25E-05,9,874755,418890,455865,0.111117773,7872323
Suba,11,-74.07584528,4.763208121,0.000193229,0.00020836,0.000861069,12,1174736,557588,617148,0.149223552,7872323
Barrios Unidos,12,-74.07355161,4.669566934,4.01E-05,7.80E-06,7.50E-05,4,240960,115855,125105,0.0306085,7872323
Teusaquillo,13,-74.08576902,4.641173587,5.22E-05,-3.93E-05,8.71E-05,6,151092,70497,80595,0.01919281,7872323
Los Martires,14,-74.08794787,4.607155935,3.56E-05,2.00E-05,1.71E-05,2,98758,49840,48918,0.012544963,7872323
Antonio Narino,15,-74.1028424,4.588770675,4.80E-05,-3.67E-06,6.39E-06,2,108941,53103,55838,0.013838482,7872323
Puente Aranda,16,-74.11158023,4.61624547,4.77E-05,1.13E-05,9.94E-05,5,258414,127204,131210,0.032825635,7872323
La Candelaria,17,-74.0720708,4.596605075,1.52E-05,5.16E-06,7.19E-06,1,24096,12799,11297,0.00306085,7872323
Rafael Uribe Uribe,18,-74.11336318,4.566476901,1.67E-05,4.93E-06,4.45E-05,5,375107,184837,190270,0.047648832,7872323
Ciudad Bolivar,19,-74.1619589,4.482460266,0.000137775,8.59E-05,0.001239338,8,687923,336796,351127,0.087385007,7872323
