Source,Target,Type
House1,Calle 142,Undirected
House2,Toberín,Undirected
House3,Terminal,Undirected
House4,Pepe Sierra,Undirected
House5,Pepe Sierra,Undirected
House6,Terminal,Undirected
House7,Mazurén,Undirected
House8,Prado,Undirected
House9,Terminal,Undirected
House10,Prado,Undirected
House11,Terminal,Undirected
House12,Calle 161,Undirected
House13,Toberín,Undirected
House14,Toberín,Undirected
House15,Terminal,Undirected
House16,Calle 106,Undirected
House17,Mazurén,Undirected
House18,Portal del Norte,Undirected
House19,Toberín,Undirected
House20,Héroes,Undirected
House21,Calle 76,Undirected
House22,Héroes,Undirected
House23,Calle 57,Undirected
House24,Calle 57,Undirected
House25,Calle 72,Undirected
House26,Universidades,Undirected
House27,Universidades,Undirected
House28,Universidades,Undirected
House29,Universidades,Undirected
House30,Universidades,Undirected
House31,Portal 20 de Julio,Undirected
House32,Portal 20 de Julio,Undirected
House33,Portal 20 de Julio,Undirected
House34,Portal 20 de Julio,Undirected
House35,Policarpa,Undirected
House36,Policarpa,Undirected
House37,Ciudad Jardín,Undirected
House38,Portal de Usme,Undirected
House39,Ciudad Jardín,Undirected
House40,Portal 20 de Julio,Undirected
House41,Portal de Usme,Undirected
House42,Portal 20 de Julio,Undirected
House43,Portal 20 de Julio,Undirected
House44,Ciudad Jardín,Undirected
House45,Portal 20 de Julio,Undirected
House46,Portal 20 de Julio,Undirected
House47,Portal de Usme,Undirected
House48,Portal de Usme,Undirected
House49,Portal de Usme,Undirected
House50,Portal de Usme,Undirected
House51,Portal de Usme,Undirected
House52,Portal de Usme,Undirected
House53,Portal de Usme,Undirected
House54,Portal de Usme,Undirected
House55,Portal de Usme,Undirected
House56,Portal de Usme,Undirected
House57,Portal de Usme,Undirected
House58,Portal de Usme,Undirected
House59,Portal de Usme,Undirected
House60,Portal de Usme,Undirected
House61,Portal de Usme,Undirected
House62,Portal de Usme,Undirected
House63,Portal de Usme,Undirected
House64,Venecia,Undirected
House65,Portal del Tunal,Undirected
House66,Calle 40 S,Undirected
House67,Sevillana,Undirected
House68,Venecia,Undirected
House69,Parque,Undirected
House70,Sevillana,Undirected
House71,Molinos,Undirected
House72,Portal de las Américas,Undirected
House73,La Despensa,Undirected
House74,Bosa,Undirected
House75,La Despensa,Undirected
House76,Portal de las Américas,Undirected
House77,Bosa,Undirected
House78,Portal de las Américas,Undirected
House79,La Despensa,Undirected
House80,Terreros - Hospital C.V,Undirected
House81,La Despensa,Undirected
House82,Portal de las Américas,Undirected
House83,La Despensa,Undirected
House84,Portal de las Américas,Undirected
House85,Portal de las Américas,Undirected
House86,Portal de las Américas,Undirected
House87,Portal de las Américas,Undirected
House88,Bosa,Undirected
House89,La Despensa,Undirected
House90,La Despensa,Undirected
House91,Portal de las Américas,Undirected
House92,La Despensa,Undirected
House93,Portal de las Américas,Undirected
House94,Portal de las Américas,Undirected
House95,Portal de las Américas,Undirected
House96,Portal de las Américas,Undirected
House97,Patio Bonito,Undirected
House98,Banderas,Undirected
House99,Patio Bonito,Undirected
House100,Patio Bonito,Undirected
House101,Portal de las Américas,Undirected
House102,Mandalay,Undirected
House103,Banderas,Undirected
House104,Patio Bonito,Undirected
House105,Biblioteca Tintal,Undirected
House106,Madelena,Undirected
House107,Transversal 86,Undirected
House108,Portal de las Américas,Undirected
House109,Transversal 86,Undirected
